"Indicator","GeoAreaName","Time_Detail","Value","Units","Source","SeriesDescription","SeriesCode"
"3.4.1","Hungary",2015,30.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Hungary",2019,22.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Hungary",2019,15.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Hungary",2019,29.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2000,13.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2000,11.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2000,15.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2005,11.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2005,9.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2005,13.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2010,9.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2010,8.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2010,11.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2015,9.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2015,7.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2015,10.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2019,8.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2019,7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iceland",2019,10.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2000,25.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2000,21.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2000,28.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2005,22.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2005,18.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2005,26,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2010,23.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2010,19.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2010,28,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2015,19.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2015,22.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2015,25.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2019,21.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2019,19,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","India",2019,24.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2000,25.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2000,24.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2000,26.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2005,26.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2005,28.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2005,24.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2010,26.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2010,23.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2010,28.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2015,25.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2015,22.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2015,29,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2019,28.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2019,21.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Indonesia",2019,24.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2000,20.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2000,16.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2000,24,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2005,18.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2005,14.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2005,21.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2010,15.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2010,12.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2010,18.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2015,18.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2015,15.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2015,12.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2019,17.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2019,14.8,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iran (Islamic Republic of)",2019,12,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2000,29.4,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2000,25.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2000,33.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2005,27.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2005,23.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2005,31.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2010,26.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2010,22.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2010,30.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2015,24.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2015,20.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2015,28.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2019,23.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2019,20,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Iraq",2019,27.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2000,17.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2000,13.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2000,21.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2005,13.9,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2005,11.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2005,16.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2010,13.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2010,11.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2010,9.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2015,10.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2015,12.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2015,8.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2019,11.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2019,9.7,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Ireland",2019,8.1,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Israel",2000,14.3,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Israel",2000,11.5,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Israel",2000,17.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Israel",2005,9.6,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
"3.4.1","Israel",2005,12.2,"PERCENT","Global Health Estimates 2019: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2019. Geneva, World Health Organization, 2020","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability)","SH_DTH_NCOM"
